calories,proteins,fat,carbohydrate,name,calories_norm,proteins_norm,fat_norm,carbo_norm
311.0,8.0,4.0,48.9,Coklat bubuk,0.33085106382978724,0.0963855421686747,0.04,0.07557959814528593
472.0,2.0,29.8,62.7,Coklat Manis batang,0.5021276595744681,0.024096385542168676,0.298,0.09690880989180835
504.0,5.5,52.9,29.2,Coklat Pahit batang,0.5361702127659574,0.06626506024096386,0.529,0.04513137557959814
381.0,9.0,35.0,53.6,Coklat Susu batang,0.4053191489361702,0.10843373493975904,0.35000000000000003,0.08284389489953632
210.0,1.6,6.6,35.8,Combro ,0.22340425531914895,0.01927710843373494,0.066,0.0553323029366306
241.0,16.0,25.0,0.0,Corned Beef,0.25638297872340426,0.1927710843373494,0.25,0.0
96.0,6.8,5.9,3.8,Coto mangkasara kuda masakan,0.1021276595744681,0.0819277108433735,0.059000000000000004,0.0058732612055641415
84.0,6.0,6.0,1.4,Coto mangkasara sapi masakan,0.08936170212765958,0.07228915662650603,0.06,0.0021638330757341576
145.0,27.0,2.3,0.0,Cue Selar Kuning,0.15425531914893617,0.3253012048192771,0.023,0.0
12.0,0.1,0.1,5.0,Cuka,0.012765957446808512,0.0012048192771084338,0.001,0.0077279752704791345
265.0,40.6,10.1,0.0,Cumi-cumi goreng,0.28191489361702127,0.48915662650602415,0.10099999999999999,0.0
75.0,16.1,0.7,0.1,Cumi-cumi segar,0.0797872340425532,0.19397590361445785,0.006999999999999999,0.0001545595054095827
190.0,19.1,12.0,0.0,Daging Anak Sapi,0.2021276595744681,0.23012048192771087,0.12,0.0
191.0,32.0,6.0,0.0,Daging Asap,0.20319148936170214,0.3855421686746988,0.06,0.0
457.0,11.6,45.0,0.0,Daging Babi Gemuk,0.48617021276595745,0.13975903614457832,0.45,0.0
376.0,14.1,35.0,0.0,Daging Babi Kurus,0.4,0.16987951807228915,0.35000000000000003,0.0
206.0,17.1,14.8,0.0,Daging Domba,0.21914893617021278,0.2060240963855422,0.14800000000000002,0.0
154.0,16.6,9.2,0.0,Daging Kambing,0.16382978723404257,0.20000000000000004,0.092,0.0
84.0,18.7,0.5,0.0,Daging Kerbau,0.08936170212765958,0.22530120481927712,0.005,0.0
118.0,18.1,4.1,0.9,Daging Kuda,0.12553191489361704,0.21807228915662655,0.040999999999999995,0.0013910355486862441
207.0,18.8,14.0,0.0,Daging Sapi,0.22021276595744682,0.22650602409638557,0.14,0.0
27.0,1.3,0.6,4.0,Daun bangun-bangun segar,0.02872340425531915,0.01566265060240964,0.006,0.0061823802163833074
29.0,1.8,0.7,5.2,Daun Bawang,0.030851063829787233,0.02168674698795181,0.006999999999999999,0.0080370942812983
41.0,2.0,0.3,7.8,Daun bawang  merah segar,0.043617021276595745,0.024096385542168676,0.003,0.01205564142194745
41.0,2.7,1.0,7.3,Daun bebuas segar,0.043617021276595745,0.032530120481927716,0.01,0.011282843894899535
50.0,4.4,1.4,7.8,Daun belem segar,0.05319148936170213,0.05301204819277109,0.013999999999999999,0.01205564142194745
42.0,1.8,0.5,9.4,Daun Beluntas,0.04468085106382979,0.02168674698795181,0.005,0.014528593508500774
122.0,6.0,1.0,26.0,Daun Cincau,0.12978723404255318,0.07228915662650603,0.01,0.0401854714064915
